//Sinking of the Rising Sun
//sprites
//sprite ID, file ID, x, y, w, h, rotx, roty,scale, alpha,angle,name, layer, framecount
0, 0, 0, 0, 78, 44, 0, 0, 1, 255, 0, missing_sprite, 1, 0, 0
1, 1, 0, 0, 1416, 1109, 0, 0, 1, 255, 0, splash, 1, 0, 0
2, 2, 17, 5, 249, 312, 0, 0, 1.0, 255, 0, crewman1, 7, 0, 0
3, 2, 270, 4, 263, 312, 0, 0, 1.0, 255, 0, crewman2, 7, 0, 0
4, 2, 545, 3, 265, 322, 0, 0, 1.0, 255, 0, crewman3, 7, 0, 0
5, 2, 5, 323, 257, 338, 0, 0, 1.0, 255, 0, crewman4, 7, 0, 0
6, 2, 292, 322, 247, 351, 0, 0, 1.0, 255, 0, crewman5, 7, 0, 0
7, 2, 546, 336, 257, 328, 0, 0, 1.0, 255, 0, crewman6, 7, 0, 0
8, 3, 0, 0, 600, 765, 0, 0, 1.0, 255, 0, launching, 7, 0, 0
9, 4, 0, 0, 740, 605, 0, 0, 1.0, 255, 0, tautog_at_sea, 7, 0, 0
10, 5, 0, 0, 740, 515, 0, 0, 1.0, 255, 0, battleflag, 7, 0, 0

11, 6, 0, 0, 250, 167, 0, 0, 1.0, 255, 0, imperial_flag, 7, 0, 0
12, 7, 0, 0, 388, 186, 0, 0, 1.0, 255, 0, title, 7, 0, 0

13, 9, 0, 0, 1024, 537, 0, 0, 1.0, 255, 0, menu_tr, 7, 0, 0

14, 8, 0, 0, 1024, 768, 0, 0, 1.0, 255, 0, bkgrd1, 7, 0, 0  
15, 11, 0, 0, 371, 137, 0, 0, 1.0, 255, 0, scope_mount, 7, 0, 0
16, 11, 378, 0, 821, 1831, 0, 0, 1.0, 255, 0, periscope, 7, 0, 0
17, 12, 0, 0, 1024, 768, 0, 0, 1.0, 255, 0, bkgrd2, 7, 0, 0  
18, 0, 9, 111, 58, 59, 131, 0, 1.0, 255, 0, arrow_left, 7, 0, 0
19, 0, 74, 112, 60, 58, 104, 141, 1.0, 255, 0, arrow_right, 7, 0, 0
20, 0, 144, 115, 60, 60,  0, 0, 1.0, 255, 0, arrow_up, 7, 0, 0
21, 0, 217, 116, 59, 59, 0, 0, 1.0, 255, 0, arrow_down, 7, 0, 0

22, 10, 0, 0, 840, 482, 0, 0, 1.0, 255, 0, select1, 7, 0, 0
23, 0, 0, 48, 128, 50, 0, 0, 1.0, 255, 0, dolphins, 7, 0, 0
24, 0, 156, 6, 77, 77, 194, 44, 1.0, 255, 0, crosshairs, 7, 0, 0
25, 18, 0, 0, 700, 700, 350, 350, 1.0, 255, 0, eyepiece, 7, 0, 0
26, 18, 713, 9, 113, 116, 0, 0, 1.0, 255, 0, brg_button, 7, 0, 0

//27, 19, 0, 0, 1131,212, 0, 0, 1, 255, 0, sky_pan2, 7, 0, 0
27, 26, 0, 0, 400, 400, 0, 0, 1, 255, 0, night_black_quad, 7, 0, 0

28, 20, 0, 0, 1024, 768, 0, 0, 1, 255, 0, bkgrd3, 7, 0, 0
29, 0, 15, 198, 92, 87, 0, 0, 1, 255, 0, zoom_in, 7, 0, 0
30, 0, 128, 201, 92, 87, 0, 0, 1, 255, 0, zoom_out, 7, 0, 0
31, 0, 295, 5, 180, 100, 0, 0, 1, 255, 0, TIGRS_RATING, 7, 0, 0
32, 21, 16, 3, 548, 755, 0, 0, 1, 255, 0, sub_msg, 7, 0, 0

//control panel
33, 22, 2, 3, 698,340, 0, 0, 1, 255, 0, hdg_speed, 7, 0, 0
34, 22, 2, 421, 402, 342, 0, 0, 1, 255, 0, depth, 7, 0, 0
35, 22, 481, 482, 22, 125, 10, 73, 1, 255, 0, needle, 7, 0, 0

//short cuts
//non-selected
36, 23, 4, 6, 100, 100, 0, 0, 1, 255, 0, sonar, 7, 0, 0
37, 23, 107, 6, 100, 100, 0, 0, 1, 255, 0, radar, 7, 0, 0
38, 23, 210, 6, 100, 100, 0, 0, 1, 255, 0, conn, 7, 0, 0
39, 23, 313, 6, 100, 100, 0, 0, 1, 255, 0, fire_control, 7, 0, 0
40, 23, 416, 6, 100, 100, 0, 0, 1, 255, 0, damage_control, 7, 0, 0
41, 23, 519, 6, 100, 100, 0, 0, 1, 255, 0, chart, 7, 0, 0

//short cuts
//selected - bright green
42, 23, 4, 109, 100, 100, 0, 0, 1, 255, 0, sonar, 7, 0, 0
43, 23, 107, 109, 100, 100, 0, 0, 1, 255, 0, radar, 7, 0, 0
44, 23, 210, 109, 100, 100, 0, 0, 1, 255, 0, conn, 7, 0, 0
45, 23, 313, 109, 100, 100, 0, 0, 1, 255, 0, fire_control, 7, 0, 0
46, 23, 416, 109, 100, 100, 0, 0, 1, 255, 0, damage_control, 7, 0, 0
47, 23, 519, 109, 100, 100, 0, 0, 1, 255, 0, chart, 7, 0, 0

48, 0, 296, 121, 100, 100, 0, 0, 1, 255, 0, white_square, 7, 0, 0

//5 green rudder indicators
49, 22, 75, 353, 25, 30, 0, 0, 1, 255, 0, rudder-25, 7, 0, 0
50, 22, 101, 353, 25, 30, 0, 0, 1, 255, 0, rudder-10, 7, 0, 0
